frame,keypoint_id,x,y,px,py,visibility
4,16,0.19775034,0.5036818,142,644,0.9613868594169617
5,0,0.34628975,0.29248017,249,374,0.865327775478363
5,1,0.34300444,0.28803903,246,368,0.41980040073394775
5,2,0.33565378,0.2894191,241,370,0.8788126111030579
5,3,0.3273011,0.2941785,235,376,0.11304198950529099
5,4,0.30315557,0.29818007,218,381,0.8648154735565186
5,5,0.32807794,0.3202458,236,409,0.9185900092124939
5,6,0.27533624,0.32453632,198,415,0.9909055233001709
5,7,0.3378341,0.31778485,243,406,0.7447678446769714
5,8,0.26135543,0.32576078,188,416,0.9843149781227112
5,9,0.32641253,0.28409192,235,363,0.7091015577316284
5,10,0.29448548,0.29741973,212,380,0.9638330340385437
5,11,0.31403595,0.39825028,226,509,0.9894943833351135
5,12,0.27185792,0.40084013,195,513,0.9963661432266235
5,13,0.33831906,0.45871264,243,587,0.9822970032691956
5,14,0.27207568,0.4677322,195,598,0.9942038655281067
5,15,0.29891497,0.4963436,215,635,0.9600656032562256
5,16,0.19968715,0.5097875,143,652,0.9797572493553162
6,0,0.33099476,0.29750508,238,380,0.834525465965271
6,1,0.32815307,0.29357013,236,375,0.39639127254486084
6,2,0.31934083,0.29483598,229,377,0.8533653020858765
6,3,0.3136613,0.30030876,225,384,0.13039319217205048
6,4,0.29025033,0.30468333,208,389,0.8509922027587891
6,5,0.31040898,0.3271772,223,418,0.8973351120948792
6,6,0.2729535,0.3290831,196,421,0.9874467253684998
6,7,0.30367467,0.32141784,218,411,0.679765522480011
6,8,0.25880834,0.32191652,186,412,0.977179229259491
6,9,0.2977775,0.29013067,214,371,0.6427268385887146
6,10,0.29353702,0.29477772,211,377,0.9495434761047363
6,11,0.3015286,0.40623704,217,519,0.9825464487075806
6,12,0.27082562,0.4077372,194,521,0.9938269257545471
6,13,0.3249557,0.46995276,233,601,0.9704403877258301
6,14,0.28784594,0.4749692,207,607,0.9901019334793091
6,15,0.27103135,0.5034183,195,644,0.9375965595245361
6,16,0.21382156,0.51062524,153,653,0.9680307507514954
7,0,0.3229013,0.3111981,232,398,0.766706645488739
7,1,0.32263374,0.30918184,232,395,0.36433786153793335
7,2,0.3137098,0.3091066,225,395,0.748664915561676
7,3,0.31248644,0.31609043,224,404,0.17222534120082855
7,4,0.28783187,0.31765035,207,406,0.7577126622200012
7,5,0.3069291,0.3347701,220,428,0.9212902784347534
7,6,0.26674274,0.34054855,192,435,0.9819970726966858
7,7,0.29463434,0.3171598,212,405,0.7896150350570679
7,8,0.23408574,0.3390122,168,433,0.9682183265686035
7,9,0.273517,0.2873602,196,367,0.7510131001472473
7,10,0.2408486,0.31905967,173,408,0.9423366189002991
7,11,0.2885479,0.4084792,207,522,0.987697184085846
7,12,0.26060557,0.40995994,187,524,0.9939950108528137
7,13,0.29211873,0.47742954,210,611,0.9727757573127747
7,14,0.2788325,0.48035184,200,614,0.9874178171157837
7,15,0.2187867,0.51065034,157,653,0.9261716604232788
7,16,0.21872957,0.5148639,157,659,0.9536246657371521
