knee_angle_left,knee_angle_right,elbow_angle_left,elbow_angle_right,com_x,com_y,knee_status
171.6100545443714,166.60666688334825,145.48481542431784,153.60078270603168,226.25,452.5,Extension
158.4864830251098,165.6138730346186,74.23446471319087,90.7638984605905,222.5,453.5,Extension
157.62232012083214,154.25793384201708,157.49168657485484,149.41699567506004,217.0,447.5,Transition
138.99387905453023,135.70760113217048,90.44289600914418,114.71744089699882,216.25,451.0,Transition
136.18607855584924,140.44954430117792,105.14698442842551,161.37842045836328,217.0,455.0,Transition
137.44829639940326,136.0809241773233,102.6594067463841,50.59933944475834,213.75,461.5,Transition
127.49135439439982,121.8301672974136,150.17291505653787,96.44953469264938,207.5,469.75,Transition
126.4645770550478,128.08274341574716,176.34535295446727,83.45370922741427,201.5,477.25,Transition
118.12845650739148,115.08708596794006,153.43494872164354,103.01497774889181,198.25,492.75,Good Loading (Serve)
106.71603666245086,103.19061070928846,171.75089351465488,101.22245804732016,196.75,508.0,Good Loading (Serve)
90.8441200555961,89.2263300314344,174.0684721846269,148.78159674566135,193.5,514.75,Good Loading (Serve)
83.04439705470986,88.83474217149103,147.26477305850386,147.52880746252785,187.5,518.25,Good Loading (Serve)
90.77074874519998,86.88996264162341,135.3696448853329,133.32760556920405,184.5,522.5,Good Loading (Serve)
87.23614262972256,91.66592990329578,45.57103550505046,79.16076165505957,191.5,520.5,Good Loading (Serve)
104.49580423641585,96.52664876007137,103.66069940560298,100.72978637568755,183.0,519.5,Good Loading (Serve)
97.85742967172318,95.2622170279526,118.10188631214398,102.425942857069,185.75,520.25,Good Loading (Serve)
117.53830519014242,109.9617119730589,110.77527420470045,98.001924085236,182.0,513.5,Good Loading (Serve)
124.51254204114973,117.87600836531885,118.0025603528067,101.87026452408121,182.0,509.25,Good Loading (Serve)
133.35142897765536,124.76219861295857,114.0000476372468,118.74151550737903,184.0,508.75,Transition
134.17762900551395,125.54818003345514,126.02737335319097,125.51803575018425,184.5,507.0,Transition
125.43802696690497,116.61041599063074,132.4489048743443,131.21495526036628,186.5,505.25,Good Loading (Serve)
108.53729915543069,105.39978233836092,150.3796744786149,141.49077160081623,187.0,500.5,Good Loading (Serve)
107.88342097776696,105.62545194953233,148.2580918132379,143.079930897942,188.75,497.0,Good Loading (Serve)
126.2297479669401,122.52912722682561,153.27355261612863,150.3408906965399,185.5,490.5,Transition
128.57581449114713,125.4010969231082,139.9240927431268,138.8228369610637,189.75,488.75,Transition
119.85019290777299,124.47775855496641,115.55313854023508,126.28193420723649,195.5,488.0,Transition
123.99743036989466,118.8376151786604,106.38070860321861,115.37156173820784,198.25,490.5,Good Loading (Serve)
119.53878225319603,114.90104160243212,133.69804728112496,121.293038976469,193.5,490.25,Good Loading (Serve)
117.10931698734075,113.72810198917433,131.09950621544067,118.58774626333889,194.5,492.0,Good Loading (Serve)
122.91891705368467,117.8786379158709,129.68545428426364,115.85278601097734,195.5,489.5,Good Loading (Serve)
133.03353542088817,128.2969876646068,131.2686029526358,112.53678749814381,195.0,487.5,Transition
134.94517150853846,128.91704541954317,134.552385777206,116.23044349630499,196.0,485.25,Transition
136.32912995430493,126.82187101158296,109.6806172448651,114.14554194964595,201.5,484.0,Transition
123.74597794373274,123.11828192687973,116.81247124567926,120.10865912034583,203.25,480.75,Transition
115.6799339841106,119.95020483364955,128.73037673528216,117.79702856519633,203.5,480.0,Good Loading (Serve)
110.75526808531127,112.56421010347553,121.30798602300061,118.88658175244976,204.75,480.5,Good Loading (Serve)
116.50117630490466,116.60633054613552,117.6237848830748,116.94861550821376,206.75,480.75,Good Loading (Serve)
121.21456484198711,114.3040849078178,109.7564052736777,119.73129442684441,207.75,486.5,Good Loading (Serve)
113.03504448534764,106.95886779615225,118.252096925514,112.1935044994211,208.75,493.25,Good Loading (Serve)
107.51382128101777,105.02143559176169,113.64901973565561,99.48358223346774,212.0,498.5,Good Loading (Serve)
111.71728712428879,111.22344147710034,114.56717130269058,90.0,216.25,500.25,Good Loading (Serve)
116.07342980626039,114.76119659377298,101.93560251918316,94.22620665203937,216.0,500.5,Good Loading (Serve)
116.07342980626039,115.08313795178377,100.49147699301133,93.57093789345328,216.0,500.25,Good Loading (Serve)
135.95562439603415,127.11108518292687,114.17910690722182,90.61393816532109,218.25,498.5,Transition
158.80384120114775,150.54008316544815,85.78884153760269,94.49715161272633,219.5,499.0,Transition
161.16959942622975,156.6541198667725,85.04349522410867,113.60535742921826,218.75,499.5,Transition
153.48498876987915,158.96378935455965,86.76158332845094,100.15559177069326,220.0,505.75,Transition
150.0866898886439,159.28231555266203,103.67130711186257,100.5966217946873,222.75,508.5,Transition
151.824648196418,164.19748600856084,158.67378134676775,107.78564505963745,223.0,510.75,Extension
157.04882954314246,167.89513244969808,158.21823240298679,106.68019706291342,220.0,507.5,Extension
170.07871563688434,176.6501889426555,163.29459338996156,105.64654406521726,219.75,504.75,Extension
177.52267122118892,177.68335537149207,169.17424535542494,111.08768244115767,219.5,501.0,Extension
175.28876514418448,172.95806937935743,168.4193805371248,104.97975192932005,217.0,497.0,Extension
168.99404405583996,165.9546293293487,161.77492466468854,110.15421115028266,217.0,494.5,Extension
176.16776845973902,174.8754255188906,54.4156265352493,95.79414168584518,216.5,498.5,Extension
171.9599380242166,175.94836210312477,7.787018545959828,96.00658572328754,214.0,502.75,Extension
164.85447520196678,176.46022527916676,50.858002418661236,91.64778031405372,211.25,501.75,Extension
163.80039399549122,166.72993619048506,47.84113205677869,91.69479232156574,206.25,497.75,Extension
171.92854217232005,169.39191488196693,65.93756104775261,127.69424038706791,203.0,494.0,Extension
